"","Date","Time","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"62","2006-12-16","18:25:00",0,1,17
"63","2006-12-16","18:26:00",0,1,17
"64","2006-12-16","18:27:00",0,1,17
"65","2006-12-16","18:28:00",0,1,17
"66","2006-12-16","18:29:00",0,1,17
"67","2006-12-16","18:30:00",0,1,17
"68","2006-12-16","18:31:00",0,1,17
"69","2006-12-16","18:32:00",0,1,17
"70","2006-12-16","18:33:00",0,0,17
"71","2006-12-16","18:34:00",0,1,16
"72","2006-12-16","18:35:00",0,27,17
"73","2006-12-16","18:36:00",0,1,17
"74","2006-12-16","18:37:00",0,1,16
"75","2006-12-16","18:38:00",0,1,17
"76","2006-12-16","18:39:00",0,1,17
"77","2006-12-16","18:40:00",0,1,17
"78","2006-12-16","18:41:00",0,1,17
"79","2006-12-16","18:42:00",0,1,17
"80","2006-12-16","18:43:00",0,1,17
"81","2006-12-16","18:44:00",0,1,17
"82","2006-12-16","18:45:00",0,1,17
"83","2006-12-16","18:46:00",0,1,16
"84","2006-12-16","18:47:00",0,1,17
"85","2006-12-16","18:48:00",0,2,17
"86","2006-12-16","18:49:00",0,4,17
"87","2006-12-16","18:50:00",0,3,17
"88","2006-12-16","18:51:00",0,1,16
"89","2006-12-16","18:52:00",0,0,17
"90","2006-12-16","18:53:00",0,1,17
"91","2006-12-16","18:54:00",0,1,16
"92","2006-12-16","18:55:00",0,1,17
"93","2006-12-16","18:56:00",0,2,16
"94","2006-12-16","18:57:00",0,1,17
"95","2006-12-16","18:58:00",0,1,17
"96","2006-12-16","18:59:00",0,1,16
"97","2006-12-16","19:00:00",0,1,17
"98","2006-12-16","19:01:00",0,2,16
"99","2006-12-16","19:02:00",0,1,17
"100","2006-12-16","19:03:00",0,1,16
"101","2006-12-16","19:04:00",0,1,17
"102","2006-12-16","19:05:00",0,2,16
"103","2006-12-16","19:06:00",0,0,17
"104","2006-12-16","19:07:00",0,4,17
"105","2006-12-16","19:08:00",0,3,17
"106","2006-12-16","19:09:00",0,0,17
"107","2006-12-16","19:10:00",0,1,17
"108","2006-12-16","19:11:00",0,1,17
"109","2006-12-16","19:12:00",0,1,16
"110","2006-12-16","19:13:00",0,2,17
"111","2006-12-16","19:14:00",0,1,17
"112","2006-12-16","19:15:00",0,1,17
"113","2006-12-16","19:16:00",0,1,16
"114","2006-12-16","19:17:00",0,2,17
"115","2006-12-16","19:18:00",0,1,17
"116","2006-12-16","19:19:00",0,1,17
"117","2006-12-16","19:20:00",0,1,17
"118","2006-12-16","19:21:00",0,1,16
"119","2006-12-16","19:22:00",0,1,17
"120","2006-12-16","19:23:00",0,2,17
"121","2006-12-16","19:24:00",0,0,17
"122","2006-12-16","19:25:00",0,3,16
"123","2006-12-16","19:26:00",0,5,17
"124","2006-12-16","19:27:00",0,5,17
"125","2006-12-16","19:28:00",0,5,17
"126","2006-12-16","19:29:00",0,5,17
"127","2006-12-16","19:30:00",0,2,16
"128","2006-12-16","19:31:00",0,1,17
"129","2006-12-16","19:32:00",0,2,17
"130","2006-12-16","19:33:00",0,1,16
"131","2006-12-16","19:34:00",0,1,17
"132","2006-12-16","19:35:00",0,2,16
"133","2006-12-16","19:36:00",0,1,17
"134","2006-12-16","19:37:00",0,2,17
"135","2006-12-16","19:38:00",0,1,16
"136","2006-12-16","19:39:00",0,1,17
"137","2006-12-16","19:40:00",0,2,16
"138","2006-12-16","19:41:00",0,1,17
"139","2006-12-16","19:42:00",0,1,17
"140","2006-12-16","19:43:00",0,2,16
"141","2006-12-16","19:44:00",0,1,17
"142","2006-12-16","19:45:00",0,1,16
"143","2006-12-16","19:46:00",0,2,17
"144","2006-12-16","19:47:00",0,1,16
"145","2006-12-16","19:48:00",0,1,17
"146","2006-12-16","19:49:00",0,1,17
"147","2006-12-16","19:50:00",0,2,16
"148","2006-12-16","19:51:00",0,1,17
"149","2006-12-16","19:52:00",0,1,17
"150","2006-12-16","19:53:00",0,0,16
"151","2006-12-16","19:54:00",0,0,17
"152","2006-12-16","19:55:00",0,0,16
"153","2006-12-16","19:56:00",0,0,17
"154","2006-12-16","19:57:00",0,0,16
"155","2006-12-16","19:58:00",0,0,17
"156","2006-12-16","19:59:00",0,0,17
"157","2006-12-16","20:00:00",0,0,16
"158","2006-12-16","20:01:00",0,0,17
"159","2006-12-16","20:02:00",0,0,16
"160","2006-12-16","20:03:00",0,0,17
"161","2006-12-16","20:04:00",0,0,16
"162","2006-12-16","20:05:00",0,0,17
"163","2006-12-16","20:06:00",0,0,17
"164","2006-12-16","20:07:00",0,0,16
"165","2006-12-16","20:08:00",0,0,17
"166","2006-12-16","20:09:00",0,0,17
"167","2006-12-16","20:10:00",0,0,17
"168","2006-12-16","20:11:00",0,0,16
"169","2006-12-16","20:12:00",0,0,17
"170","2006-12-16","20:13:00",0,0,17
"171","2006-12-16","20:14:00",0,0,16
"172","2006-12-16","20:15:00",0,0,17
"173","2006-12-16","20:16:00",0,0,17
"174","2006-12-16","20:17:00",0,0,17
"175","2006-12-16","20:18:00",0,0,16
"176","2006-12-16","20:19:00",0,0,17
"177","2006-12-16","20:20:00",0,0,16
"178","2006-12-16","20:21:00",0,0,17
"179","2006-12-16","20:22:00",0,0,17
"180","2006-12-16","20:23:00",0,0,16
"181","2006-12-16","20:24:00",0,0,17
"182","2006-12-16","20:25:00",0,0,16
"183","2006-12-16","20:26:00",0,0,17
"184","2006-12-16","20:27:00",0,0,17
"185","2006-12-16","20:28:00",0,0,17
"186","2006-12-16","20:29:00",0,0,17
"187","2006-12-16","20:30:00",0,0,17
"188","2006-12-16","20:31:00",0,0,16
"189","2006-12-16","20:32:00",0,0,17
"190","2006-12-16","20:33:00",0,0,17
"191","2006-12-16","20:34:00",0,0,17
"192","2006-12-16","20:35:00",0,0,16
"193","2006-12-16","20:36:00",0,0,17
"194","2006-12-16","20:37:00",0,0,16
"195","2006-12-16","20:38:00",0,0,17
"196","2006-12-16","20:39:00",0,0,16
"197","2006-12-16","20:40:00",0,0,17
"198","2006-12-16","20:41:00",0,0,17
"199","2006-12-16","20:42:00",0,0,17
"200","2006-12-16","20:43:00",0,0,17
"201","2006-12-16","20:44:00",0,0,17
"202","2006-12-16","20:45:00",0,0,17
"203","2006-12-16","20:46:00",0,0,17
"204","2006-12-16","20:47:00",0,0,17
"205","2006-12-16","20:48:00",0,0,17
"206","2006-12-16","20:49:00",0,0,17
"207","2006-12-16","20:50:00",0,0,17
"208","2006-12-16","20:51:00",0,0,17
"209","2006-12-16","20:52:00",0,0,17
"210","2006-12-16","20:53:00",0,0,17
"211","2006-12-16","20:54:00",0,0,17
"212","2006-12-16","20:55:00",0,0,17
"213","2006-12-16","20:56:00",0,0,18
"214","2006-12-16","20:57:00",0,0,17
"215","2006-12-16","20:58:00",0,0,17
"216","2006-12-16","20:59:00",0,0,17
"217","2006-12-16","21:00:00",0,0,17
"218","2006-12-16","21:01:00",0,0,17
"219","2006-12-16","21:02:00",0,0,18
"220","2006-12-16","21:03:00",0,0,17
"221","2006-12-16","21:04:00",0,0,17
"222","2006-12-16","21:05:00",0,0,18
"223","2006-12-16","21:06:00",0,0,17
"224","2006-12-16","21:07:00",0,0,17
"225","2006-12-16","21:08:00",0,0,18
"226","2006-12-16","21:09:00",0,0,17
"227","2006-12-16","21:10:00",0,0,17
"228","2006-12-16","21:11:00",0,0,17
"229","2006-12-16","21:12:00",0,0,17
"230","2006-12-16","21:13:00",0,0,18
"231","2006-12-16","21:14:00",0,0,17
"232","2006-12-16","21:15:00",0,0,17
"233","2006-12-16","21:16:00",0,0,17
"234","2006-12-16","21:17:00",0,0,17
"235","2006-12-16","21:18:00",0,0,18
"236","2006-12-16","21:19:00",0,0,17
"237","2006-12-16","21:20:00",0,0,17
"238","2006-12-16","21:21:00",0,0,17
"239","2006-12-16","21:22:00",0,0,18
"240","2006-12-16","21:23:00",0,0,17
"241","2006-12-16","21:24:00",0,0,17
"242","2006-12-16","21:25:00",0,0,17
"243","2006-12-16","21:26:00",0,0,17
"244","2006-12-16","21:27:00",0,0,18
"245","2006-12-16","21:28:00",0,0,17
"246","2006-12-16","21:29:00",0,0,17
"247","2006-12-16","21:30:00",0,0,18
"248","2006-12-16","21:31:00",0,0,17
"249","2006-12-16","21:32:00",0,0,17
"250","2006-12-16","21:33:00",0,0,17
"251","2006-12-16","21:34:00",0,0,17
"252","2006-12-16","21:35:00",0,0,18
"253","2006-12-16","21:36:00",0,0,17
"254","2006-12-16","21:37:00",0,0,17
"255","2006-12-16","21:38:00",0,0,17
"256","2006-12-16","21:39:00",0,0,17
"257","2006-12-16","21:40:00",0,0,18
"258","2006-12-16","21:41:00",0,0,17
"259","2006-12-16","21:42:00",0,1,17
"260","2006-12-16","21:43:00",0,2,17
"261","2006-12-16","21:44:00",0,1,17
"262","2006-12-16","21:45:00",0,2,18
"263","2006-12-16","21:46:00",0,1,17
"264","2006-12-16","21:47:00",0,1,18
"265","2006-12-16","21:48:00",0,2,17
"266","2006-12-16","21:49:00",0,1,17
"267","2006-12-16","21:50:00",0,2,17
"268","2006-12-16","21:51:00",0,1,17
"269","2006-12-16","21:52:00",0,1,17
"270","2006-12-16","21:53:00",0,2,17
"271","2006-12-16","21:54:00",0,1,17
"272","2006-12-16","21:55:00",0,1,18
"273","2006-12-16","21:56:00",0,2,17
"274","2006-12-16","21:57:00",0,1,17
"275","2006-12-16","21:58:00",0,1,17
"276","2006-12-16","21:59:00",0,2,17
"277","2006-12-16","22:00:00",0,1,17
"278","2006-12-16","22:01:00",0,1,18
"279","2006-12-16","22:02:00",0,1,17
"280","2006-12-16","22:03:00",0,2,17
"281","2006-12-16","22:04:00",0,1,17
"282","2006-12-16","22:05:00",0,1,17
"283","2006-12-16","22:06:00",0,1,17
"284","2006-12-16","22:07:00",0,0,17
"285","2006-12-16","22:08:00",0,0,17
"286","2006-12-16","22:09:00",0,0,17
"287","2006-12-16","22:10:00",0,0,17
"288","2006-12-16","22:11:00",0,0,18
"289","2006-12-16","22:12:00",0,0,17
"290","2006-12-16","22:13:00",0,0,17
"291","2006-12-16","22:14:00",0,0,17
"292","2006-12-16","22:15:00",0,0,9
"293","2006-12-16","22:16:00",0,0,0
"294","2006-12-16","22:17:00",0,0,0
"295","2006-12-16","22:18:00",0,0,0
"296","2006-12-16","22:19:00",0,0,0
"297","2006-12-16","22:20:00",0,0,0
"298","2006-12-16","22:21:00",0,0,0
"299","2006-12-16","22:22:00",0,0,0
"300","2006-12-16","22:23:00",0,0,0
"301","2006-12-16","22:24:00",0,0,0
"302","2006-12-16","22:25:00",0,0,0
"303","2006-12-16","22:26:00",0,0,0
"304","2006-12-16","22:27:00",0,0,0
"305","2006-12-16","22:28:00",0,0,0
"306","2006-12-16","22:29:00",0,0,0
"307","2006-12-16","22:30:00",0,0,0
"308","2006-12-16","22:31:00",0,0,0
"309","2006-12-16","22:32:00",0,0,0
"310","2006-12-16","22:33:00",0,0,0
"311","2006-12-16","22:34:00",0,0,0
"312","2006-12-16","22:35:00",0,0,0
"313","2006-12-16","22:36:00",0,0,0
"314","2006-12-16","22:37:00",0,0,0
"315","2006-12-16","22:38:00",0,0,0
"316","2006-12-16","22:39:00",0,0,0
"317","2006-12-16","22:40:00",0,0,0
"318","2006-12-16","22:41:00",0,0,0
"319","2006-12-16","22:42:00",0,0,0
"320","2006-12-16","22:43:00",0,0,0
"321","2006-12-16","22:44:00",0,0,0
"322","2006-12-16","22:45:00",0,0,0
"323","2006-12-16","22:46:00",0,0,0
"324","2006-12-16","22:47:00",0,0,0
"325","2006-12-16","22:48:00",0,0,0
"326","2006-12-16","22:49:00",0,0,0
"327","2006-12-16","22:50:00",0,0,0
"328","2006-12-16","22:51:00",0,0,0
"329","2006-12-16","22:52:00",0,0,0
"330","2006-12-16","22:53:00",0,0,0
"331","2006-12-16","22:54:00",0,0,0
"332","2006-12-16","22:55:00",0,0,0
"333","2006-12-16","22:56:00",0,0,0
"334","2006-12-16","22:57:00",0,0,0
"335","2006-12-16","22:58:00",0,0,0
"336","2006-12-16","22:59:00",0,0,0
"337","2006-12-16","23:00:00",0,0,0
"338","2006-12-16","23:01:00",0,0,0
"339","2006-12-16","23:02:00",0,0,0
"340","2006-12-16","23:03:00",0,0,0
"341","2006-12-16","23:04:00",0,0,0
"342","2006-12-16","23:05:00",0,0,0
"343","2006-12-16","23:06:00",0,0,0
"344","2006-12-16","23:07:00",0,0,0
"345","2006-12-16","23:08:00",0,0,0
"346","2006-12-16","23:09:00",0,0,0
"347","2006-12-16","23:10:00",0,0,0
"348","2006-12-16","23:11:00",0,0,0
"349","2006-12-16","23:12:00",0,0,0
"350","2006-12-16","23:13:00",0,0,0
"351","2006-12-16","23:14:00",0,0,0
"352","2006-12-16","23:15:00",0,0,0
"353","2006-12-16","23:16:00",0,0,0
"354","2006-12-16","23:17:00",0,0,0
"355","2006-12-16","23:18:00",0,0,0
"356","2006-12-16","23:19:00",0,0,0
"357","2006-12-16","23:20:00",0,0,0
"358","2006-12-16","23:21:00",0,0,0
"359","2006-12-16","23:22:00",0,0,0
"360","2006-12-16","23:23:00",0,0,0
"361","2006-12-16","23:24:00",0,0,0
"362","2006-12-16","23:25:00",0,0,0
"363","2006-12-16","23:26:00",0,0,0
"364","2006-12-16","23:27:00",0,0,0
"365","2006-12-16","23:28:00",0,0,0
"366","2006-12-16","23:29:00",0,0,0
"367","2006-12-16","23:30:00",0,0,0
"368","2006-12-16","23:31:00",0,0,0
"369","2006-12-16","23:32:00",0,0,0
"370","2006-12-16","23:33:00",0,0,0
"371","2006-12-16","23:34:00",0,0,0
"372","2006-12-16","23:35:00",0,0,0
"373","2006-12-16","23:36:00",0,0,0
"374","2006-12-16","23:37:00",0,0,0
"375","2006-12-16","23:38:00",0,0,0
"376","2006-12-16","23:39:00",0,0,0
"377","2006-12-16","23:40:00",0,0,0
"378","2006-12-16","23:41:00",0,0,0
"379","2006-12-16","23:42:00",0,0,0
"380","2006-12-16","23:43:00",0,0,0
"381","2006-12-16","23:44:00",0,0,0
"382","2006-12-16","23:45:00",0,0,0
"383","2006-12-16","23:46:00",0,0,0
"384","2006-12-16","23:47:00",0,0,0
"385","2006-12-16","23:48:00",0,0,0
"386","2006-12-16","23:49:00",0,0,0
"387","2006-12-16","23:50:00",0,0,0
"388","2006-12-16","23:51:00",0,0,0
"389","2006-12-16","23:52:00",0,0,0
"390","2006-12-16","23:53:00",0,0,0
"391","2006-12-16","23:54:00",0,0,0
"392","2006-12-16","23:55:00",0,0,0
"393","2006-12-16","23:56:00",0,1,0
"394","2006-12-16","23:57:00",0,2,0
"395","2006-12-16","23:58:00",0,1,0
"396","2006-12-16","23:59:00",0,1,0
"397","2006-12-17","00:00:00",0,2,0
"398","2006-12-17","00:01:00",0,1,0
"399","2006-12-17","00:02:00",0,2,0
"400","2006-12-17","00:03:00",0,1,0
"401","2006-12-17","00:04:00",0,2,0
"402","2006-12-17","00:05:00",0,1,0
"403","2006-12-17","00:06:00",0,1,0
"404","2006-12-17","00:07:00",0,2,0
"405","2006-12-17","00:08:00",0,1,0
"406","2006-12-17","00:09:00",0,2,0
"407","2006-12-17","00:10:00",0,1,0
"408","2006-12-17","00:11:00",0,1,0
"409","2006-12-17","00:12:00",0,2,0
"410","2006-12-17","00:13:00",0,1,0
"411","2006-12-17","00:14:00",0,1,0
"412","2006-12-17","00:15:00",0,1,0
"413","2006-12-17","00:16:00",0,2,0
"414","2006-12-17","00:17:00",0,1,0
"415","2006-12-17","00:18:00",0,1,0
"416","2006-12-17","00:19:00",0,1,0
"417","2006-12-17","00:20:00",0,1,0
"418","2006-12-17","00:21:00",0,0,0
"419","2006-12-17","00:22:00",0,0,0
"420","2006-12-17","00:23:00",0,0,0
"421","2006-12-17","00:24:00",0,0,0
"422","2006-12-17","00:25:00",0,0,0
"423","2006-12-17","00:26:00",0,0,0
"424","2006-12-17","00:27:00",0,0,0
"425","2006-12-17","00:28:00",0,0,0
"426","2006-12-17","00:29:00",0,0,0
"427","2006-12-17","00:30:00",0,0,0
"428","2006-12-17","00:31:00",0,0,0
"429","2006-12-17","00:32:00",0,0,0
"430","2006-12-17","00:33:00",0,0,0
"431","2006-12-17","00:34:00",0,0,0
"432","2006-12-17","00:35:00",0,0,0
"433","2006-12-17","00:36:00",0,0,0
"434","2006-12-17","00:37:00",0,0,0
"435","2006-12-17","00:38:00",0,0,0
"436","2006-12-17","00:39:00",0,0,0
"437","2006-12-17","00:40:00",0,0,0
"438","2006-12-17","00:41:00",0,0,0
"439","2006-12-17","00:42:00",0,0,0
"440","2006-12-17","00:43:00",0,0,0
"441","2006-12-17","00:44:00",0,0,0
"442","2006-12-17","00:45:00",0,0,0
"443","2006-12-17","00:46:00",0,0,0
"444","2006-12-17","00:47:00",0,0,0
"445","2006-12-17","00:48:00",0,0,0
"446","2006-12-17","00:49:00",0,0,0
"447","2006-12-17","00:50:00",0,0,0
"448","2006-12-17","00:51:00",0,0,0
"449","2006-12-17","00:52:00",0,0,0
"450","2006-12-17","00:53:00",0,0,0
"451","2006-12-17","00:54:00",0,0,0
"452","2006-12-17","00:55:00",0,0,0
"453","2006-12-17","00:56:00",0,0,0
"454","2006-12-17","00:57:00",0,0,0
"455","2006-12-17","00:58:00",0,0,0
"456","2006-12-17","00:59:00",0,0,0
"457","2006-12-17","01:00:00",0,0,0
"458","2006-12-17","01:01:00",0,0,0
"459","2006-12-17","01:02:00",0,0,0
"460","2006-12-17","01:03:00",0,0,0
"461","2006-12-17","01:04:00",0,13,0
"462","2006-12-17","01:05:00",0,35,0
"463","2006-12-17","01:06:00",0,28,0
"464","2006-12-17","01:07:00",0,37,0
"465","2006-12-17","01:08:00",0,27,0
"466","2006-12-17","01:09:00",0,37,0
"467","2006-12-17","01:10:00",0,36,0
"468","2006-12-17","01:11:00",0,36,0
"469","2006-12-17","01:12:00",0,37,0
"470","2006-12-17","01:13:00",0,35,0
"471","2006-12-17","01:14:00",0,36,0
"472","2006-12-17","01:15:00",0,36,0
"473","2006-12-17","01:16:00",0,36,0
"474","2006-12-17","01:17:00",0,36,0
"475","2006-12-17","01:18:00",0,35,0
"476","2006-12-17","01:19:00",0,36,0
"477","2006-12-17","01:20:00",0,35,0
"478","2006-12-17","01:21:00",0,36,0
"479","2006-12-17","01:22:00",0,26,0
"480","2006-12-17","01:23:00",0,24,0
"481","2006-12-17","01:24:00",0,36,0
"482","2006-12-17","01:25:00",0,36,0
"483","2006-12-17","01:26:00",0,21,0
"484","2006-12-17","01:27:00",0,28,0
"485","2006-12-17","01:28:00",0,37,0
"486","2006-12-17","01:29:00",0,28,0
"487","2006-12-17","01:30:00",0,22,0
"488","2006-12-17","01:31:00",0,36,0
"489","2006-12-17","01:32:00",0,36,0
"490","2006-12-17","01:33:00",0,17,0
"491","2006-12-17","01:34:00",0,33,0
"492","2006-12-17","01:35:00",0,36,0
"493","2006-12-17","01:36:00",0,25,0
"494","2006-12-17","01:37:00",0,25,0
"495","2006-12-17","01:38:00",0,36,0
"496","2006-12-17","01:39:00",0,24,0
"497","2006-12-17","01:40:00",0,26,0
"498","2006-12-17","01:41:00",0,36,0
"499","2006-12-17","01:42:00",0,26,0
"500","2006-12-17","01:43:00",0,23,0
"501","2006-12-17","01:44:00",0,37,0
"502","2006-12-17","01:45:00",0,18,0
"503","2006-12-17","01:46:00",0,30,0
"504","2006-12-17","01:47:00",0,28,0
"505","2006-12-17","01:48:00",0,31,0
"506","2006-12-17","01:49:00",0,5,0
"507","2006-12-17","01:50:00",0,16,0
"508","2006-12-17","01:51:00",0,23,0
"509","2006-12-17","01:52:00",0,37,0
"510","2006-12-17","01:53:00",0,16,0
"511","2006-12-17","01:54:00",0,5,0
"512","2006-12-17","01:55:00",0,5,0
"513","2006-12-17","01:56:00",0,5,0
"514","2006-12-17","01:57:00",0,4,0
"515","2006-12-17","01:58:00",0,5,0
"516","2006-12-17","01:59:00",0,5,0
"517","2006-12-17","02:00:00",0,5,0
"518","2006-12-17","02:01:00",0,3,0
"519","2006-12-17","02:02:00",0,1,0
"520","2006-12-17","02:03:00",0,2,0
"521","2006-12-17","02:04:00",0,1,0
"522","2006-12-17","02:05:00",0,2,0
"523","2006-12-17","02:06:00",0,1,0
"524","2006-12-17","02:07:00",0,1,0
"525","2006-12-17","02:08:00",0,2,0
"526","2006-12-17","02:09:00",0,1,0
"527","2006-12-17","02:10:00",0,1,0
"528","2006-12-17","02:11:00",0,2,0
"529","2006-12-17","02:12:00",0,1,0
"530","2006-12-17","02:13:00",0,2,0
"531","2006-12-17","02:14:00",0,1,0
"532","2006-12-17","02:15:00",0,1,0
"533","2006-12-17","02:16:00",0,0,0
"534","2006-12-17","02:17:00",0,0,0
"535","2006-12-17","02:18:00",0,1,0
"536","2006-12-17","02:19:00",0,0,0
"537","2006-12-17","02:20:00",0,0,0
"538","2006-12-17","02:21:00",0,0,0
"539","2006-12-17","02:22:00",0,0,0
"540","2006-12-17","02:23:00",0,0,0
"541","2006-12-17","02:24:00",0,1,0
"542","2006-12-17","02:25:00",0,0,0
"543","2006-12-17","02:26:00",0,0,0
"544","2006-12-17","02:27:00",0,0,0
"545","2006-12-17","02:28:00",0,0,0
"546","2006-12-17","02:29:00",0,0,0
"547","2006-12-17","02:30:00",0,0,0
"548","2006-12-17","02:31:00",0,0,0
"549","2006-12-17","02:32:00",0,1,0
"550","2006-12-17","02:33:00",0,0,0
"551","2006-12-17","02:34:00",0,0,0
"552","2006-12-17","02:35:00",0,0,0
"553","2006-12-17","02:36:00",0,0,0
"554","2006-12-17","02:37:00",0,0,0
"555","2006-12-17","02:38:00",0,1,0
"556","2006-12-17","02:39:00",0,0,0
"557","2006-12-17","02:40:00",0,0,0
"558","2006-12-17","02:41:00",0,0,0
"559","2006-12-17","02:42:00",0,0,0
"560","2006-12-17","02:43:00",0,1,0
"561","2006-12-17","02:44:00",0,0,0
"562","2006-12-17","02:45:00",0,0,0
"563","2006-12-17","02:46:00",0,0,0
"564","2006-12-17","02:47:00",0,0,0
"565","2006-12-17","02:48:00",0,0,0
"566","2006-12-17","02:49:00",0,1,0
"567","2006-12-17","02:50:00",0,0,0
"568","2006-12-17","02:51:00",0,0,0
"569","2006-12-17","02:52:00",0,0,0
"570","2006-12-17","02:53:00",0,0,0
"571","2006-12-17","02:54:00",0,0,0
"572","2006-12-17","02:55:00",0,1,0
"573","2006-12-17","02:56:00",0,0,0
"574","2006-12-17","02:57:00",0,0,0
"575","2006-12-17","02:58:00",0,0,0
"576","2006-12-17","02:59:00",0,0,0
"577","2006-12-17","03:00:00",0,0,0
"578","2006-12-17","03:01:00",0,4,0
"579","2006-12-17","03:02:00",0,4,0
"580","2006-12-17","03:03:00",0,3,0
"581","2006-12-17","03:04:00",0,4,0
"582","2006-12-17","03:05:00",0,3,0
"583","2006-12-17","03:06:00",0,4,0
"584","2006-12-17","03:07:00",0,3,0
"585","2006-12-17","03:08:00",0,4,0
"586","2006-12-17","03:09:00",0,0,0
"587","2006-12-17","03:10:00",0,0,0
"588","2006-12-17","03:11:00",0,0,0
"589","2006-12-17","03:12:00",0,0,0
"590","2006-12-17","03:13:00",0,0,0
"591","2006-12-17","03:14:00",0,0,0
"592","2006-12-17","03:15:00",0,0,0
"593","2006-12-17","03:16:00",0,1,0
"594","2006-12-17","03:17:00",0,0,0
"595","2006-12-17","03:18:00",0,0,0
"596","2006-12-17","03:19:00",0,0,0
"597","2006-12-17","03:20:00",0,0,0
"598","2006-12-17","03:21:00",0,0,0
"599","2006-12-17","03:22:00",0,1,0
"600","2006-12-17","03:23:00",0,0,0
"601","2006-12-17","03:24:00",0,0,0
"602","2006-12-17","03:25:00",0,0,0
"603","2006-12-17","03:26:00",0,0,0
"604","2006-12-17","03:27:00",0,0,0
"605","2006-12-17","03:28:00",0,1,0
"606","2006-12-17","03:29:00",0,0,0
"607","2006-12-17","03:30:00",0,0,0
"608","2006-12-17","03:31:00",0,0,0
"609","2006-12-17","03:32:00",0,0,0
"610","2006-12-17","03:33:00",0,0,0
"611","2006-12-17","03:34:00",0,1,0
"612","2006-12-17","03:35:00",0,0,0
"613","2006-12-17","03:36:00",0,0,0
"614","2006-12-17","03:37:00",0,0,0
"615","2006-12-17","03:38:00",0,0,0
"616","2006-12-17","03:39:00",0,0,0
"617","2006-12-17","03:40:00",0,0,0
"618","2006-12-17","03:41:00",0,1,0
"619","2006-12-17","03:42:00",0,0,0
"620","2006-12-17","03:43:00",0,0,0
"621","2006-12-17","03:44:00",0,0,0
"622","2006-12-17","03:45:00",0,0,0
"623","2006-12-17","03:46:00",0,0,0
"624","2006-12-17","03:47:00",0,1,0
"625","2006-12-17","03:48:00",0,0,0
"626","2006-12-17","03:49:00",0,0,0
"627","2006-12-17","03:50:00",0,0,0
"628","2006-12-17","03:51:00",0,0,0
"629","2006-12-17","03:52:00",0,0,0
"630","2006-12-17","03:53:00",0,1,0
"631","2006-12-17","03:54:00",0,2,0
"632","2006-12-17","03:55:00",0,2,0
"633","2006-12-17","03:56:00",0,1,0
